ARTIKELNAME;Handelssprache;Lokaler Artikelname;Lieferantenartikelnummer;Lieferanten Firmenname;LIEFERANTENNUMMER;Bruttokaufpreis;Zu- und Abschläge Bezeichnung 1;Zu- und Abschläge Preisart 1;Zu- und Abschläge Wert 1;Zu- und Abschläge Bezeichnung 2;Zu- und Abschläge Preisart 2;Zu- und Abschläge Wert 2;Währung;Artikel-Mengeneinheit;Matchcode;Artikel aktiv;Preis-Eintritt;Warengruppen-Name;Warengruppen Beschreibung;Steuersatz;Zugehörigen Verkaufsartikel erstellen oder aktualisieren;Verkaufsartikel-Nummer;Bruttopreis des zugehörigen Verkaufsartikels;Verkaufsartikel-Währung;Vertriebsweg;Vertriebsweg-Steuersatz;Kurztext 1;Handelssprache;Lokalisierte Kurztext 1;Kurztext 2;Handelssprache;Lokalisierte Kurztext 2;Artikelbeschreibung;Handelssprache;Lokalisierte Artikelbeschreibung;Interner Hinweis;Handelssprache;Lokalisierter interner Hinweis;Artikel-Langbeschreibung;Handelssprache;Lokalisierte Lange Artikelbeschreibung;EAN-Nummer;MPN-Nummer;Artikeltyp;Serienartikel;Hersteller;Bruttogewicht;Nettogewicht;Zolltarifnummer;Länge Artikel;Breite Artikel;Höhe Artikel;Herstellertyp;Einführungsdatum;Sicherheitstage;Mindestlagerbestand;Zielbestand;Wiederbeschaffungstage;Durchschnittliche Lieferzeit;Mindestbestellmenge;Gebindemenge;Lieferantenbestand;Dropshipping möglich;In Dropshipping-Automatisierung ignorieren;Kostenstelle Verkauf;Kostenstelle Einkauf;Kostenart;Primäre Bezugsquelle
Aussenecke für Winkelabschlussprofil pulverbeschichtet gold 11 mm;;;9528114;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1152-Y, 2;;15.07.2026;;;;;020.020.3320;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet gold 12,5 mm Länge 250 cm;;;9528121;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1252, 250;;15.07.2026;;;;;020.020.3330;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet gold 12,5 mm;;;9528124;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1252-Y, 2;;15.07.2026;;;;;020.020.3340;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet titan Länge 250 cm;;;9538061;Dural GmbH;10000;8,4;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 653, 250;;15.07.2026;;;;;020.020.3350;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet titan;;;9538064;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 653-Y, 2;;15.07.2026;;;;;020.020.3360;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet titan 8 mm Länge 250 cm;;;9538081;Dural GmbH;10000;8,72;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 853, 250;;15.07.2026;;;;;020.020.3370;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet titan 8 mm;;;9538084;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 853-Y, 2;;15.07.2026;;;;;020.020.3380;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet titan 10 mm Länge 250 cm;;;9538101;Dural GmbH;10000;9,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1053, 250;;15.07.2026;;;;;020.020.3390;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet titan 10 mm;;;9538104;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1053-Y, 2;;15.07.2026;;;;;020.020.3400;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet titan 11 mm Länge 250 cm;;;9538111;Dural GmbH;10000;9,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1153, 250;;15.07.2026;;;;;020.020.3410;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet titan 11 mm;;;9538114;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1153-Y, 2;;15.07.2026;;;;;020.020.3420;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet titan 12,5 mm Länge 250 cm;;;9538121;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1253, 250;;15.07.2026;;;;;020.020.3430;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet titan 12,5 mm;;;9538124;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1253-Y, 2;;15.07.2026;;;;;020.020.3440;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet kupfer Länge 250 cm;;;9548061;Dural GmbH;10000;8,4;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 654, 250;;15.07.2026;;;;;020.020.3450;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet kupfer;;;9548064;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 654-Y, 2;;15.07.2026;;;;;020.020.3460;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet kupfer 8 mm Länge 250 cm;;;9548081;Dural GmbH;10000;8,72;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 854, 250;;15.07.2026;;;;;020.020.3470;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet kupfer 8 mm;;;9548084;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 854-Y, 2;;15.07.2026;;;;;020.020.3480;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet kupfer 10 mm Länge 250 cm;;;9548101;Dural GmbH;10000;9,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1054, 250;;15.07.2026;;;;;020.020.3490;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet kupfer 10 mm;;;9548104;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1054-Y, 2;;15.07.2026;;;;;020.020.3500;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet kupfer 11 mm Länge 250 cm;;;9548111;Dural GmbH;10000;9,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1154, 250;;15.07.2026;;;;;020.020.3510;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet kupfer 11 mm;;;9548114;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1154-Y, 2;;15.07.2026;;;;;020.020.3520;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet kupfer 12,5 mm Länge 250 cm;;;9548121;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1254, 250;;15.07.2026;;;;;020.020.3530;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet kupfer 12,5 mm;;;9548124;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1254-Y, 2;;15.07.2026;;;;;020.020.3540;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet bronze Länge 250 cm;;;9558061;Dural GmbH;10000;8,4;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 655, 250;;15.07.2026;;;;;020.020.3550;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet bronze;;;9558064;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 655-Y, 2;;15.07.2026;;;;;020.020.3560;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet bronze 8 mm Länge 250 cm;;;9558081;Dural GmbH;10000;8,72;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 855, 250;;15.07.2026;;;;;020.020.3570;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet bronze 8 mm;;;9558084;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 855-Y, 2;;15.07.2026;;;;;020.020.3580;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet bronze 10 mm Länge 250 cm;;;9558101;Dural GmbH;10000;9,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1055, 250;;15.07.2026;;;;;020.020.3590;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet bronze 10 mm;;;9558104;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1055-Y, 2;;15.07.2026;;;;;020.020.3600;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet bronze 11 mm Länge 250 cm;;;9558111;Dural GmbH;10000;9,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1155, 250;;15.07.2026;;;;;020.020.3610;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet bronze 11 mm;;;9558114;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1155-Y, 2;;15.07.2026;;;;;020.020.3620;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet bronze 12,5 mm Länge 250 cm;;;9558121;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1255, 250;;15.07.2026;;;;;020.020.3630;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet bronze 12,5 mm;;;9558124;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1255-Y, 2;;15.07.2026;;;;;020.020.3640;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet graphit Länge 250 cm;;;9568061;Dural GmbH;10000;8,4;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 656, 250;;15.07.2026;;;;;020.020.3650;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet graphit;;;9568064;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 656-Y, 2;;15.07.2026;;;;;020.020.3660;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet graphit 8 mm Länge 250 cm;;;9568081;Dural GmbH;10000;8,72;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 856, 250;;15.07.2026;;;;;020.020.3670;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet graphit 8 mm;;;9568084;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 856-Y, 2;;15.07.2026;;;;;020.020.3680;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet graphit 10 mm Länge 250 cm;;;9568101;Dural GmbH;10000;9,18;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1056, 250;;15.07.2026;;;;;020.020.3690;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet graphit 10 mm;;;9568104;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1056-Y, 2;;15.07.2026;;;;;020.020.3700;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet graphit 11 mm Länge 250 cm;;;9568111;Dural GmbH;10000;9,54;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1156, 250;;15.07.2026;;;;;020.020.3710;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet graphit 11 mm;;;9568114;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1156-Y, 2;;15.07.2026;;;;;020.020.3720;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium pulverbeschichtet graphit 12,5 mm Länge 250 cm;;;9568121;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSAC 1256, 250;;15.07.2026;;;;;020.020.3730;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil pulverbeschichtet graphit 12,5 mm;;;9568124;Dural GmbH;10000;8,14;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSAC 1256-Y, 2;;15.07.2026;;;;;020.020.3740;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet gelboliv (RAL 6014) 6 mm Länge 250 cm;;;960148061;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 60-6014, 250;;15.07.2026;;;;;020.020.3750;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet gelboliv (RAL 6014) 6 mm;;;960148064;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 60-6014-Y, 2;;15.07.2026;;;;;020.020.3760;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet gelboliv (RAL 6014) 8 mm Länge 250 cm;;;960148081;Dural GmbH;10000;10,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 80-6014, 250;;15.07.2026;;;;;020.020.3770;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet gelboliv (RAL 6014) 8 mm;;;960148084;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 80-6014-Y, 2;;15.07.2026;;;;;020.020.3780;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet gelboliv (RAL 6014) 10 mm Länge 250 cm;;;960148101;Dural GmbH;10000;11,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 100-6014, 250;;15.07.2026;;;;;020.020.3790;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet gelboliv (RAL 6014) 10 mm;;;960148104;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 100-6014-Y, 2;;15.07.2026;;;;;020.020.3800;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet gelboliv (RAL 6014) 11 mm Länge 250 cm;;;960148111;Dural GmbH;10000;11,44;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 110-6014, 250;;15.07.2026;;;;;020.020.3810;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet gelboliv (RAL 6014) 11 mm;;;960148114;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 110-6014-Y, 2;;15.07.2026;;;;;020.020.3820;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet gelboliv (RAL 6014) 12,5 mm Länge 250 cm;;;960148121;Dural GmbH;10000;12,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 125-6014, 250;;15.07.2026;;;;;020.020.3830;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet gelboliv (RAL 6014) 12,5 mm;;;960148124;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 125-6014-Y, 2;;15.07.2026;;;;;020.020.3840;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet moosgrau (RAL 7003) 6 mm Länge 250 cm;;;970038061;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 60-7003, 250;;15.07.2026;;;;;020.020.3850;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet moosgrau (RAL 7003) 6 mm;;;970038064;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 60-7003-Y, 2;;15.07.2026;;;;;020.020.3860;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet moosgrau (RAL 7003) 8 mm Länge 250 cm;;;970038081;Dural GmbH;10000;10,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 80-7003, 250;;15.07.2026;;;;;020.020.3870;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet moosgrau (RAL 7003) 8 mm;;;970038084;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 80-7003-Y, 2;;15.07.2026;;;;;020.020.3880;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet moosgrau (RAL 7003) 10 mm Länge 250 cm;;;970038101;Dural GmbH;10000;11,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 100-7003, 250;;15.07.2026;;;;;020.020.3890;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet moosgrau (RAL 7003) 10 mm;;;970038104;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 100-7003-Y, 2;;15.07.2026;;;;;020.020.3900;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet moosgrau (RAL 7003) 11 mm Länge 250 cm;;;970038111;Dural GmbH;10000;11,44;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 110-7003, 250;;15.07.2026;;;;;020.020.3910;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet moosgrau (RAL 7003) 11 mm;;;970038114;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 110-7003-Y, 2;;15.07.2026;;;;;020.020.3920;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet moosgrau (RAL 7003) 12,5 mm Länge 250 cm;;;970038121;Dural GmbH;10000;12,1;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 125-7003, 250;;15.07.2026;;;;;020.020.3930;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet moosgrau (RAL 7003) 12,5 mm;;;970038124;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 125-7003-Y, 2;;15.07.2026;;;;;020.020.3940;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet beigegrau (RAL 7006) 6 mm Länge 250 cm;;;970068061;Dural GmbH;10000;10,08;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 60-7006, 250;;15.07.2026;;;;;020.020.3950;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet beigegrau (RAL 7006) 6 mm;;;970068064;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 60-7006-Y, 2;;15.07.2026;;;;;020.020.3960;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet beigegrau (RAL 7006) 8 mm Länge 250 cm;;;970068081;Dural GmbH;10000;10,46;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 80-7006, 250;;15.07.2026;;;;;020.020.3970;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Aussenecke für Winkelabschlussprofil strukturbeschichtet beigegrau (RAL 7006) 8 mm;;;970068084;Dural GmbH;10000;9,76;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;Stk.;DSACS 80-7006-Y, 2;;15.07.2026;;;;;020.020.3980;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
Winkelabschlussprofil Aluminium strukturbeschichtet beigegrau (RAL 7006) 10 mm Länge 250 cm;;;970068101;Dural GmbH;10000;11,02;;DISCOUNT_PCT;50;;DISCOUNT_PCT;40;EUR;lfm;DSACS 100-7006, 250;;15.07.2026;;;;;020.020.3990;;EUR;GROSS1;;;;;;;;;;;;;;;;;;;;ja;;;;;;;;;;;;;;;;;;ja;;;;;ja
