Prosema Artikelnummer,Lieferantenartikelnummer,Hauptgruppe,Untergruppe,PROSEMA Kurztext,PROSEMA Langtext,Kurzbeschreibung,Referenz (Matchcode),GTIN (EAN-Nummer),Artikeltyp,Einheit,Kategorie,Aktiv,Im Verkauf,Steuersatz,Im Shop verfügbar,Im Shop aktiv,Bestand übertragen,Gewichtseinheit,Grundmaterial,Oberfläche,Farbe,Produktfamilie,Rabattcode,Verkaufseinheit,Verpackung,VPE 1,VPE 2,VPE 3,Breite in mm,Länge in cm,Höhe in mm,Bodenleger,Dachdecker,Landschaftsgärtner,Plattenleger,Artikelbeschreibung HTML,Nettogewicht kg,Produkt-ID (Prosema),Varianten-ID (Prosema),Einkaufspreis EUR netto,Lieferanten Firmenname,Lieferantennummer,"Verkaufspreis €, BE",Zolltarifnummer,weclapp Artikel-ID,weclapp Bezugsquelle-ID,weclapp Breite (m),weclapp Einheit-ID,weclapp Erstellt am,weclapp Geändert am,weclapp Kategorie-ID,weclapp Version
020.040.1900,12270118081,Profile,Abschlussprofile Diamond,Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 8 mm Länge 250 cm für Wand- und Bodenbeläge,"Das Diamond-Cut Abschlussprofil aus Aluminium dient dem sauberen Abschluss keramischer Wand- und Bodenbeläge. Die 45°-Sichtkante bildet eine klare, dekorative Abschlusslinie und schützt freiliegende Belagskanten vor mechanischer Beanspruchung. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 8 mm, Länge 250 cm. Das Profil wird passend zur Belagsstärke in das Kleberbett eingebettet und eignet sich für präzise Kantenabschlüsse im Innenbereich.",Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 8 mm Länge 250 cm für Wand- und Bodenbeläge,"DPDACM 80-7011, 250",4018448189801,STORABLE,lfm,gid://shopify/Product/15986598740298,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,lfm,,10,40,,,250,8,,,,,,"0,145",gid://shopify/Product/15986598740298,gid://shopify/ProductVariant/63185347838282,14.28,DURAL GmbH,10000,5.97,76042990,108108,156134,,4259,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1910,12270118082,Profile,Abschlussprofile Diamond,Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 8 mm Blister 2 Stück,"Die Aussenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 8 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 8 mm Blister 2 Stück,"DPDACM 80-7011-Y, 2",4018448188415,STORABLE,Stk.,gid://shopify/Product/15986599199050,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,8,,,,,,"0,012",gid://shopify/Product/15986599199050,gid://shopify/ProductVariant/63185372905802,7.2,DURAL GmbH,10000,3.01,76042990,108109,156138,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1920,12270118084,Profile,Abschlussprofile Diamond,Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 8 mm Blister 2 Stück,"Die Innenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 8 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 8 mm Blister 2 Stück,"DPDACM 80-7011-YI, 2",4018448188446,STORABLE,Stk.,gid://shopify/Product/15986599657802,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,8,,,,,,"0,012",gid://shopify/Product/15986599657802,gid://shopify/ProductVariant/63185397907786,7.2,DURAL GmbH,10000,3.01,76042990,108110,156142,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1930,12270118101,Profile,Abschlussprofile Diamond,Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 10 mm Länge 250 cm für Wand- und Bodenbeläge,"Das Diamond-Cut Abschlussprofil aus Aluminium dient dem sauberen Abschluss keramischer Wand- und Bodenbeläge. Die 45°-Sichtkante bildet eine klare, dekorative Abschlusslinie und schützt freiliegende Belagskanten vor mechanischer Beanspruchung. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 10 mm, Länge 250 cm. Das Profil wird passend zur Belagsstärke in das Kleberbett eingebettet und eignet sich für präzise Kantenabschlüsse im Innenbereich.",Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 10 mm Länge 250 cm für Wand- und Bodenbeläge,"DPDACM 100-7011, 250",4018448189818,STORABLE,lfm,gid://shopify/Product/15986600051018,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,lfm,,10,40,,,250,10,,,,,,"0,164",gid://shopify/Product/15986600051018,gid://shopify/ProductVariant/63185422877002,15.88,DURAL GmbH,10000,6.64,76042990,108111,156146,,4259,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1940,12270118102,Profile,Abschlussprofile Diamond,Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 10 mm Blister 2 Stück,"Die Aussenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 10 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 10 mm Blister 2 Stück,"DPDACM 100-7011-Y, 2",4018448188422,STORABLE,Stk.,gid://shopify/Product/15986600444234,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,10,,,,,,"0,012",gid://shopify/Product/15986600444234,gid://shopify/ProductVariant/63185447649610,7.2,DURAL GmbH,10000,3.01,76042990,108112,156150,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1950,12270118104,Profile,Abschlussprofile Diamond,Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 10 mm Blister 2 Stück,"Die Innenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 10 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 10 mm Blister 2 Stück,"DPDACM 100-7011-YI, 2",4018448188453,STORABLE,Stk.,gid://shopify/Product/15986600837450,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,10,,,,,,"0,012",gid://shopify/Product/15986600837450,gid://shopify/ProductVariant/63185464557898,7.2,DURAL GmbH,10000,3.01,76042990,108113,156154,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1960,12270118111,Profile,Abschlussprofile Diamond,Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 11 mm Länge 250 cm für Wand- und Bodenbeläge,"Das Diamond-Cut Abschlussprofil aus Aluminium dient dem sauberen Abschluss keramischer Wand- und Bodenbeläge. Die 45°-Sichtkante bildet eine klare, dekorative Abschlusslinie und schützt freiliegende Belagskanten vor mechanischer Beanspruchung. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 11 mm, Länge 250 cm. Das Profil wird passend zur Belagsstärke in das Kleberbett eingebettet und eignet sich für präzise Kantenabschlüsse im Innenbereich.",Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 11 mm Länge 250 cm für Wand- und Bodenbeläge,"DPDACM 110-7011, 250",4018448189825,STORABLE,lfm,gid://shopify/Product/15986601328970,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,lfm,,10,40,,,250,11,,,,,,"0,177",gid://shopify/Product/15986601328970,gid://shopify/ProductVariant/63185490608458,16.78,DURAL GmbH,10000,7.02,76042990,108114,156158,,4259,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1970,12270118112,Profile,Abschlussprofile Diamond,Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 11 mm Blister 2 Stück,"Die Aussenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 11 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 11 mm Blister 2 Stück,"DPDACM 110-7011-Y, 2",4018448188439,STORABLE,Stk.,gid://shopify/Product/15986601787722,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,11,,,,,,"0,012",gid://shopify/Product/15986601787722,gid://shopify/ProductVariant/63185515905354,7.2,DURAL GmbH,10000,3.01,76042990,108115,156162,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1980,12270118114,Profile,Abschlussprofile Diamond,Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 11 mm Blister 2 Stück,"Die Innenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe eisengrau matt (RAL 7011), Profilhöhe 11 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet eisengrau matt (RAL 7011) 11 mm Blister 2 Stück,"DPDACM 110-7011-YI, 2",4018448188460,STORABLE,Stk.,gid://shopify/Product/15986602246474,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Eisengrau matt RAL  7011,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,11,,,,,,"0,012",gid://shopify/Product/15986602246474,gid://shopify/ProductVariant/63185541005642,7.2,DURAL GmbH,10000,3.01,76042990,108116,156166,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.1990,12270128081,Profile,Abschlussprofile Diamond,Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Länge 250 cm für Wand- und Bodenbeläge,"Das Diamond-Cut Abschlussprofil aus Aluminium dient dem sauberen Abschluss keramischer Wand- und Bodenbeläge. Die 45°-Sichtkante bildet eine klare, dekorative Abschlusslinie und schützt freiliegende Belagskanten vor mechanischer Beanspruchung. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 8 mm, Länge 250 cm. Das Profil wird passend zur Belagsstärke in das Kleberbett eingebettet und eignet sich für präzise Kantenabschlüsse im Innenbereich.",Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Länge 250 cm für Wand- und Bodenbeläge,"DPDACM 80-7012, 250",4018448189771,STORABLE,lfm,gid://shopify/Product/15986602705226,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,lfm,,10,40,,,250,8,,,,,,"0,145",gid://shopify/Product/15986602705226,gid://shopify/ProductVariant/63185566237002,14.28,DURAL GmbH,10000,5.97,76042990,108117,156170,,4259,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2000,12270128082,Profile,Abschlussprofile Diamond,Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Blister 2 Stück,"Die Aussenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 8 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Blister 2 Stück,"DPDACM 80-7012-Y, 2",4018448188354,STORABLE,Stk.,gid://shopify/Product/15986603131210,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,8,,,,,,"0,012",gid://shopify/Product/15986603131210,gid://shopify/ProductVariant/63185591173450,7.2,DURAL GmbH,10000,3.01,76042990,108118,156174,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2010,12270128084,Profile,Abschlussprofile Diamond,Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Blister 2 Stück,"Die Innenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 8 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 8 mm Blister 2 Stück,"DPDACM 80-7012-YI, 2",4018448188385,STORABLE,Stk.,gid://shopify/Product/15986603524426,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,8,,,,,,"0,012",gid://shopify/Product/15986603524426,gid://shopify/ProductVariant/63185616077130,7.2,DURAL GmbH,10000,3.01,76042990,108119,156178,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2020,12270128101,Profile,Abschlussprofile Diamond,Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Länge 250 cm für Wand- und Bodenbeläge,"Das Diamond-Cut Abschlussprofil aus Aluminium dient dem sauberen Abschluss keramischer Wand- und Bodenbeläge. Die 45°-Sichtkante bildet eine klare, dekorative Abschlusslinie und schützt freiliegende Belagskanten vor mechanischer Beanspruchung. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 10 mm, Länge 250 cm. Das Profil wird passend zur Belagsstärke in das Kleberbett eingebettet und eignet sich für präzise Kantenabschlüsse im Innenbereich.",Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Länge 250 cm für Wand- und Bodenbeläge,"DPDACM 100-7012, 250",4018448189788,STORABLE,lfm,gid://shopify/Product/15986603983178,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,lfm,,10,40,,,250,10,,,,,,"0,164",gid://shopify/Product/15986603983178,gid://shopify/ProductVariant/63185641341258,15.88,DURAL GmbH,10000,6.64,76042990,108120,156182,,4259,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2030,12270128102,Profile,Abschlussprofile Diamond,Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Blister 2 Stück,"Die Aussenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 10 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Blister 2 Stück,"DPDACM 100-7012-Y, 2",4018448188361,STORABLE,Stk.,gid://shopify/Product/15986604441930,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,10,,,,,,"0,012",gid://shopify/Product/15986604441930,gid://shopify/ProductVariant/63185674338634,7.2,DURAL GmbH,10000,3.01,76042990,108121,156186,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2040,12270128104,Profile,Abschlussprofile Diamond,Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Blister 2 Stück,"Die Innenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 10 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 10 mm Blister 2 Stück,"DPDACM 100-7012-YI, 2",4018448188392,STORABLE,Stk.,gid://shopify/Product/15986604835146,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,10,,,,,,"0,012",gid://shopify/Product/15986604835146,gid://shopify/ProductVariant/63185699340618,7.2,DURAL GmbH,10000,3.01,76042990,108122,156190,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2050,12270128111,Profile,Abschlussprofile Diamond,Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Länge 250 cm für Wand- und Bodenbeläge,"Das Diamond-Cut Abschlussprofil aus Aluminium dient dem sauberen Abschluss keramischer Wand- und Bodenbeläge. Die 45°-Sichtkante bildet eine klare, dekorative Abschlusslinie und schützt freiliegende Belagskanten vor mechanischer Beanspruchung. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 11 mm, Länge 250 cm. Das Profil wird passend zur Belagsstärke in das Kleberbett eingebettet und eignet sich für präzise Kantenabschlüsse im Innenbereich.",Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Länge 250 cm für Wand- und Bodenbeläge,"DPDACM 110-7012, 250",4018448189795,STORABLE,lfm,gid://shopify/Product/15986605130058,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,lfm,,10,40,,,250,11,,,,,,"0,177",gid://shopify/Product/15986605130058,gid://shopify/ProductVariant/63185707794762,16.78,DURAL GmbH,10000,7.02,76042990,108123,156194,,4259,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2060,12270128112,Profile,Abschlussprofile Diamond,Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Blister 2 Stück,"Die Aussenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 11 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Aussenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Blister 2 Stück,"DPDACM 110-7012-Y, 2",4018448188378,STORABLE,Stk.,gid://shopify/Product/15986605621578,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,11,,,,,,"0,012",gid://shopify/Product/15986605621578,gid://shopify/ProductVariant/63185741119818,7.2,DURAL GmbH,10000,3.01,76042990,108124,156198,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2070,12270128114,Profile,Abschlussprofile Diamond,Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Blister 2 Stück,"Die Innenecke für Diamond-Cut Abschlussprofile bildet einen sauberen Eckabschluss an keramischen Wand- und Bodenbelägen. Das Zubehörteil ist auf Profile mit 45°-Sichtkante abgestimmt und sorgt für eine präzise Fortführung der Profilgeometrie an Innen- bzw. Aussenecken. Technische Merkmale: Material Aluminium, Oberfläche pulverbeschichtet, Farbe basaltgrau matt (RAL 7012), Profilhöhe 11 mm, Verpackung Blister 2 Stück. Die Ecke wird zusammen mit dem Profil im Belagsaufbau eingesetzt und ermöglicht einen optisch durchgehenden Kantenabschluss.",Innenecke für Diamond-Cut Abschlussprofil Aluminium pulverbeschichtet basaltgrau matt (RAL 7012) 11 mm Blister 2 Stück,"DPDACM 110-7012-YI, 2",4018448188408,STORABLE,Stk.,gid://shopify/Product/15986606014794,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,,pulverbeschichtet,Basaltgrau matt RAL  7012,DURAPLUS DIAMOND,A,Stück,Blister 2 Stück,1,,,,,11,,,,,,"0,012",gid://shopify/Product/15986606014794,gid://shopify/ProductVariant/63185765925194,7.2,DURAL GmbH,10000,3.01,76042990,108125,156202,,3566,05.07.2026 20:08,24.08.2026 17:06,20329,16
020.040.2080,12270138081,Profile,Abschlussprofile Diamond,Diamond-Cut Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 8 mm Länge 250 cm für Wand- und Bodenbeläge,"Das Diamond-Cut Abschlussprofil aus Aluminium dient dem sauberen Abschluss keramischer Wand- und Bodenbeläge. Die 45°-Sichtkante bildet eine klare, dekorative Abschlusslinie und schützt freiliegende Belagskanten vor mechanischer Beanspruchung. Technische Merkmale: Material Aluminium, Oberfläche strukturbeschichtet, Farbe braungrau (RAL 7013), Profilhöhe 8 mm, Länge 250 cm. Das Profil wird passend zur Belagsstärke in das Kleberbett eingebettet und eignet sich für präzise Kantenabschlüsse im Innenbereich.",Diamond-Cut Abschlussprofil Aluminium strukturbeschichtet braungrau (RAL 7013) 8 mm Länge 250 cm für Wand- und Bodenbeläge,"DPDACS 80-7013, 250",4018448189085,STORABLE,lfm,gid://shopify/Product/15986606506314,Ja,Ja,STANDARD,Ja,Ja,Nein,KILOGRAM,Aluminium,strukturbeschichtet,Braungrau RAL  7013,DURAPLUS DIAMOND,A,lfm,,10,40,,,250,8,,,,,,"0,145",gid://shopify/Product/15986606506314,gid://shopify/ProductVariant/63185790959946,17.86,DURAL GmbH,10000,7.48,76042990,108126,156206,,4259,05.07.2026 20:08,24.08.2026 17:06,20329,16
