Prosema Artikelnummer,Kategorie,Lieferanten Firmenname,Artikelnr.,Beschreibung,PROSEMA Kurztext,PROSEMA Langtext,SEO Meta Title,SEO Meta Description,Fokus-Keyword,Shopify Tags,Datenstatus,Referenz (Matchcode),Hauptgruppe,Untergruppe,Produktfamilie,Grundmaterial,Oberfläche,Farbe,Breite mm,Länge cm,Höhe mm,Basiseinheitencode,Nettogewicht kg,Verpackung,GTIN (EAN-Nummer),Zolltarifnummer,Einkaufspreis EUR netto,"Verkaufspreis €, BE",Einkaufspreis Prosema,Verkaufspreis,Verkaufspreis o. Verkn.,Verkaufseinheit,Rabattkategorie_Lieferant,VPE 1,VPE 2,VPE 3,Lieferantennummer,Produktfoto 1
050.010.0670,,Dural GmbH,91121122002,BFAE 11-22-X ALUMINIUM ELOXIERT SILBER 1 ST,Balkonwinkelprofil für Balkon- und Terrassenabschluss Aluminium eloxiert silber Höhe 33 mm,"Balkonwinkelprofil für Balkon- und Terrassenabschluss im Aussenbereich. Das Bauteil dient der sauberen Ausbildung von Kanten, Abschlüssen oder Anschlüssen an Balkon- und Terrassenbelägen. Technische Ausführung: Aluminium, eloxiert, silber, Höhe 33 mm. Die Ausführung wird passend zum zugehörigen Profil eingesetzt und unterstützt einen konstruktiv sauberen, witterungsbeständigen Belagsabschluss.",Balkonwinkelprofil für Balkon- und Terrassenabschluss Aluminium eloxiert silber Höhe 33 mm | PROSEMA,Balkonwinkelprofil für Balkon- und Terrassenabschluss im Aussenbereich.,Balkon- und Terrassenabschluss Zubehör,"Balkonwinkelprofil, Balkon- und Terrassenabschluss, Balkon, Terrasse, Aluminium, eloxiert, silber, Höhe 33 mm",PPDS 2.0 geprüft,BFAE 11-22-X,Balkon und Terrasse,Balkonwinkelprofile,DURABAL BF,Aluminium,[eloxiert],Silber,,,33,Stk.,,"Beutel, 1 Stück",4018448178133,76042990,,21.52,,,,"€, Stück",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabal-bf_bfae-bfac_y_3.jpg?v=2"
050.010.0680,,Dural GmbH,9112113600,BFAE 11-36 ALUMINIUM ELOXIERT SILBER 300 CM,"Balkonwinkelprofil für Balkon- und Terrassenabschluss Aluminium eloxiert silber Breite 60 mm, Höhe 47 mm, Länge 300 cm","Balkonwinkelprofil für Balkon- und Terrassenabschluss im Aussenbereich. Das Bauteil dient der sauberen Ausbildung von Kanten, Abschlüssen oder Anschlüssen an Balkon- und Terrassenbelägen. Technische Ausführung: Aluminium, eloxiert, silber, Breite 60 mm, Höhe 47 mm, Länge 300 cm. Die Ausführung wird passend zum zugehörigen Profil eingesetzt und unterstützt einen konstruktiv sauberen, witterungsbeständigen Belagsabschluss.","Balkonwinkelprofil für Balkon- und Terrassenabschluss Aluminium eloxiert silber Breite 60 mm, Höhe 47 mm, Länge 300 c...",Balkonwinkelprofil für Balkon- und Terrassenabschluss im Aussenbereich.,Balkon- und Terrassenabschluss,"Balkonwinkelprofil, Balkon- und Terrassenabschluss, Balkon, Terrasse, Aluminium, eloxiert, silber, Breite 60 mm, Höhe 47 mm, Länge 300 cm",PPDS 2.0 geprüft,"BFAE 11-36, 300",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BF,Aluminium,[eloxiert],Silber,60,300,47,lfm,,"Karton, 5 Stück (einzeln eingeschweißt)",4018448176160,76042990,,27.6,,,,"€, lfm",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabal-bf_bfae_silver.jpg?v=2"
050.010.0690,,Dural GmbH,91121136002,BFAE 11-36-X ALUMINIUM ELOXIERT SILBER 1 ST,Balkonwinkelprofil für Balkon- und Terrassenabschluss Aluminium eloxiert silber Höhe 47 mm,"Balkonwinkelprofil für Balkon- und Terrassenabschluss im Aussenbereich. Das Bauteil dient der sauberen Ausbildung von Kanten, Abschlüssen oder Anschlüssen an Balkon- und Terrassenbelägen. Technische Ausführung: Aluminium, eloxiert, silber, Höhe 47 mm. Die Ausführung wird passend zum zugehörigen Profil eingesetzt und unterstützt einen konstruktiv sauberen, witterungsbeständigen Belagsabschluss.",Balkonwinkelprofil für Balkon- und Terrassenabschluss Aluminium eloxiert silber Höhe 47 mm | PROSEMA,Balkonwinkelprofil für Balkon- und Terrassenabschluss im Aussenbereich.,Balkon- und Terrassenabschluss Zubehör,"Balkonwinkelprofil, Balkon- und Terrassenabschluss, Balkon, Terrasse, Aluminium, eloxiert, silber, Höhe 47 mm",PPDS 2.0 geprüft,BFAE 11-36-X,Balkon und Terrasse,Balkonwinkelprofile,DURABAL BF,Aluminium,[eloxiert],Silber,,,47,Stk.,,"Beutel, 1 Stück",4018448178157,76042990,,23.12,,,,"€, Stück",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabal-bf_bfae-bfac_y_1.jpg?v=2"
050.010.0700,,Dural GmbH,911222600,BKAE 220-60 300 CM ALUMINIUM ELOXIERT SILBER,"Tropfkantenprofil Zubehör für Tropfkantenprofil Aluminium eloxiert silber Breite 60 mm, Höhe 22 mm, Länge 300 cm","Tropfkantenprofil Zubehör für Tropfkantenprofil im Aussenbereich. Das Bauteil dient der sauberen Ausbildung von Kanten, Abschlüssen oder Anschlüssen an Balkon- und Terrassenbelägen. Technische Ausführung: Aluminium, eloxiert, silber, Breite 60 mm, Höhe 22 mm, Länge 300 cm. Die Ausführung wird passend zum zugehörigen Profil eingesetzt und unterstützt einen konstruktiv sauberen, witterungsbeständigen Belagsabschluss.","Tropfkantenprofil Zubehör für Tropfkantenprofil Aluminium eloxiert silber Breite 60 mm, Höhe 22 mm, Länge 300 cm | PR...",Tropfkantenprofil Zubehör für Tropfkantenprofil im Aussenbereich.,Tropfkantenprofil,"Tropfkantenprofil Zubehör, Tropfkantenprofil, Balkon, Terrasse, Aluminium, eloxiert, silber, Breite 60 mm, Höhe 22 mm, Länge 300 cm",PPDS 2.0 geprüft,"BKAE 220-60, 300",Balkon und Terrasse,Balkonwinkelprofile,DURABAL BK,Aluminium,[eloxiert],Silber,60,300,22,lfm,"0,754","Karton, 5 Stück (einzeln eingeschweißt)",4018448176139,76042990,,41.4,,,,"€, lfm",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabal-bk_bkae-220-60_silver_1.jpg"
050.010.0710,,Dural GmbH,9112226005,BKAE 220-60-XH ALUMINIUM ELOXIERT SILBER 1 ST,Aussenecke für Tropfkantenprofil Aluminium eloxiert silber Höhe 22 mm,"Aussenecke für Tropfkantenprofil im Aussenbereich. Das Bauteil dient der sauberen Ausbildung von Kanten, Abschlüssen oder Anschlüssen an Balkon- und Terrassenbelägen. Technische Ausführung: Aluminium, eloxiert, silber, Höhe 22 mm. Die Ausführung wird passend zum zugehörigen Profil eingesetzt und unterstützt einen konstruktiv sauberen, witterungsbeständigen Belagsabschluss.",Aussenecke für Tropfkantenprofil Aluminium eloxiert silber Höhe 22 mm | PROSEMA,Aussenecke für Tropfkantenprofil im Aussenbereich.,Tropfkantenprofil Zubehör,"Aussenecke, Tropfkantenprofil, Balkon, Terrasse, Aluminium, eloxiert, silber, Höhe 22 mm",PPDS 2.0 geprüft,BKAE 220-60-XH,Balkon und Terrasse,Balkonwinkelprofile,DURABAL BK,Aluminium,[eloxiert],Silber,,,22,Stk.,,"Beutel, 1 Stück",4018448179185,76042990,,37.56,,,,"€, Stück",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabal-bk_bkae-220-60_x_silver_1.jpg"
050.010.0720,,Dural GmbH,9112226006,BKAE 220-60-XIH ALUMINIUM ELOXIERT SILBER 1 ST,Aussenecke für Tropfkantenprofil Aluminium eloxiert silber Höhe 22 mm,"Aussenecke für Tropfkantenprofil im Aussenbereich. Das Bauteil dient der sauberen Ausbildung von Kanten, Abschlüssen oder Anschlüssen an Balkon- und Terrassenbelägen. Technische Ausführung: Aluminium, eloxiert, silber, Höhe 22 mm. Die Ausführung wird passend zum zugehörigen Profil eingesetzt und unterstützt einen konstruktiv sauberen, witterungsbeständigen Belagsabschluss.",Aussenecke für Tropfkantenprofil Aluminium eloxiert silber Höhe 22 mm | PROSEMA,Aussenecke für Tropfkantenprofil im Aussenbereich.,Tropfkantenprofil Zubehör,"Aussenecke, Tropfkantenprofil, Balkon, Terrasse, Aluminium, eloxiert, silber, Höhe 22 mm",PPDS 2.0 geprüft,BKAE 220-60-XIH,Balkon und Terrasse,Balkonwinkelprofile,DURABAL BK,Aluminium,[eloxiert],Silber,,,22,Stk.,,"Beutel, 1 Stück",4018448179192,76042990,,37.56,,,,"€, Stück",A,5,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabal-bk_bkae-220-60_xi_silver_1.jpg"
020.020.2390,,Dural GmbH,91180604,DSAE 60-Y ALU ELOX. SILBER 2 STK.,Aussenecke eloxiert silber Blister 2 Stück,"Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: eloxiert, silber. Verpackung: Blister 2 Stück.",Aussenecke eloxiert silber Blister 2 Stück | PROSEMA,Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, eloxiert, silber",PPDS 2.0 geprüft,"DSAE 60-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[eloxiert],Silber,,,6,Stk.,"0,01",Blister 2 Stück,4018448172308,76042990,,7.7,,,,"€, Stück",A,1,,,10000,
020.020.2400,,Dural GmbH,91180804,DSAE 80-Y ALU ELOX. SILBER 2 STK.,Aussenecke eloxiert silber Höhe 8 mm Blister 2 Stück,"Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: eloxiert, silber, Höhe 8 mm. Verpackung: Blister 2 Stück.",Aussenecke eloxiert silber Höhe 8 mm Blister 2 Stück | PROSEMA,Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, eloxiert, silber, Höhe 8 mm",PPDS 2.0 geprüft,"DSAE 80-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[eloxiert],Silber,,,8,Stk.,"0,01",Blister 2 Stück,4018448172322,76042990,,7.7,,,,"€, Stück",A,1,,,10000,
020.020.2410,,Dural GmbH,91181004,DSAE 100-Y ALU ELOX. SILBER 2 STK.,Aussenecke eloxiert silber Höhe 10 mm Blister 2 Stück,"Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: eloxiert, silber, Höhe 10 mm. Verpackung: Blister 2 Stück.",Aussenecke eloxiert silber Höhe 10 mm Blister 2 Stück | PROSEMA,Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, eloxiert, silber, Höhe 10 mm",PPDS 2.0 geprüft,"DSAE 100-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[eloxiert],Silber,,,10,Stk.,"0,01",Blister 2 Stück,4018448172346,76042990,,7.7,,,,"€, Stück",A,1,,,10000,
020.020.2420,,Dural GmbH,91181104,DSAE 110-Y ALU ELOX. SILBER 2 STK.,Aussenecke eloxiert silber Höhe 11 mm Blister 2 Stück,"Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: eloxiert, silber, Höhe 11 mm. Verpackung: Blister 2 Stück.",Aussenecke eloxiert silber Höhe 11 mm Blister 2 Stück | PROSEMA,Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, eloxiert, silber, Höhe 11 mm",PPDS 2.0 geprüft,"DSAE 110-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[eloxiert],Silber,,,11,Stk.,"0,01",Blister 2 Stück,4018448172360,76042990,,7.7,,,,"€, Stück",A,1,,,10000,
020.020.2430,,Dural GmbH,91181204,DSAE 125-Y ALU ELOX. SILBER 2 STK.,"Aussenecke eloxiert silber Höhe 12,5 mm Blister 2 Stück","Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: eloxiert, silber, Höhe 12,5 mm. Verpackung: Blister 2 Stück.","Aussenecke eloxiert silber Höhe 12,5 mm Blister 2 Stück | PROSEMA",Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, eloxiert, silber, Höhe 12,5 mm",PPDS 2.0 geprüft,"DSAE 125-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[eloxiert],Silber,,,"12,5",Stk.,"0,01",Blister 2 Stück,4018448172421,76042990,,7.7,,,,"€, Stück",A,1,,,10000,
020.020.2440,,Dural GmbH,91280060,DSACM 612 250 CM ALU WEISS MATT,Zubehör für Winkelabschlussprofil Aluminium pulverbeschichtet weiss matt (RAL 9003) Länge 250 cm,"Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: Aluminium, pulverbeschichtet, weiss matt (RAL 9003), Länge 250 cm. Verpackung: passendes Zubehörteil.",Zubehör für Winkelabschlussprofil Aluminium pulverbeschichtet weiss matt (RAL 9003) Länge 250 cm | PROSEMA,Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Zubehör für Winkelabschlussprofil, Fliesenprofil, Abschlussprofil, Aluminium, pulverbeschichtet, weiss matt (RAL 9003), Länge 250 cm",PPDS 2.0 geprüft,"DSACM 612, 250",Profile,Abschlussprofile Winkel,DUROSOL,Aluminium,[pulverbeschichtet],Weiss matt RAL  9003,,250,6,lfm,,,4018448164204,76042990,,8.4,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_duorosol_dscam_matte-white.jpg"
020.020.2450,,Dural GmbH,912800604,DSACM 612-Y ALU WEISS MATT 2 STK.,Aussenecke pulverbeschichtet weiss matt (RAL 9003) Blister 2 Stück,"Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: pulverbeschichtet, weiss matt (RAL 9003). Verpackung: Blister 2 Stück.",Aussenecke pulverbeschichtet weiss matt (RAL 9003) Blister 2 Stück | PROSEMA,Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, pulverbeschichtet, weiss matt (RAL 9003)",PPDS 2.0 geprüft,"DSACM 612-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[pulverbeschichtet],Weiss matt RAL  9003,,,6,Stk.,"0,01",Blister 2 Stück,4018448172544,76042990,,8.14,,,,"€, Stück",A,1,,,10000,
020.020.2460,,Dural GmbH,91280080,DSACM 812 250 CM ALU WEISS MATT,"Zubehör für Winkelabschlussprofil Aluminium pulverbeschichtet weiss matt (RAL 9003) Höhe 8 mm, Länge 250 cm","Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: Aluminium, pulverbeschichtet, weiss matt (RAL 9003), Höhe 8 mm, Länge 250 cm. Verpackung: passendes Zubehörteil.","Zubehör für Winkelabschlussprofil Aluminium pulverbeschichtet weiss matt (RAL 9003) Höhe 8 mm, Länge 250 cm | PROSEMA",Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Zubehör für Winkelabschlussprofil, Fliesenprofil, Abschlussprofil, Aluminium, pulverbeschichtet, weiss matt (RAL 9003), Höhe 8 mm, Länge 250 cm",PPDS 2.0 geprüft,"DSACM 812, 250",Profile,Abschlussprofile Winkel,DUROSOL,Aluminium,[pulverbeschichtet],Weiss matt RAL  9003,,250,8,lfm,,,4018448164211,76042990,,8.72,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_duorosol_dscam_matte-white.jpg"
020.020.2470,,Dural GmbH,912800804,DSACM 812-Y ALU WEISS MATT 2 STK.,Aussenecke pulverbeschichtet weiss matt (RAL 9003) Höhe 8 mm Blister 2 Stück,"Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: pulverbeschichtet, weiss matt (RAL 9003), Höhe 8 mm. Verpackung: Blister 2 Stück.",Aussenecke pulverbeschichtet weiss matt (RAL 9003) Höhe 8 mm Blister 2 Stück | PROSEMA,Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, pulverbeschichtet, weiss matt (RAL 9003), Höhe 8 mm",PPDS 2.0 geprüft,"DSACM 812-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[pulverbeschichtet],Weiss matt RAL  9003,,,8,Stk.,"0,01",Blister 2 Stück,4018448172568,76042990,,8.14,,,,"€, Stück",A,1,,,10000,
020.020.2480,,Dural GmbH,91280100,DSACM 1012 250 CM ALU WEISS MATT,"Zubehör für Winkelabschlussprofil Aluminium pulverbeschichtet weiss matt (RAL 9003) Höhe 10 mm, Länge 250 cm","Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: Aluminium, pulverbeschichtet, weiss matt (RAL 9003), Höhe 10 mm, Länge 250 cm. Verpackung: passendes Zubehörteil.","Zubehör für Winkelabschlussprofil Aluminium pulverbeschichtet weiss matt (RAL 9003) Höhe 10 mm, Länge 250 cm | PROSEMA",Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Zubehör für Winkelabschlussprofil, Fliesenprofil, Abschlussprofil, Aluminium, pulverbeschichtet, weiss matt (RAL 9003), Höhe 10 mm, Länge 250 cm",PPDS 2.0 geprüft,"DSACM 1012, 250",Profile,Abschlussprofile Winkel,DUROSOL,Aluminium,[pulverbeschichtet],Weiss matt RAL  9003,,250,10,lfm,,,4018448164228,76042990,,9.18,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_duorosol_dscam_matte-white.jpg"
020.020.2490,,Dural GmbH,912801004,DSACM 1012-Y ALU WEISS MATT 2 STK.,Aussenecke pulverbeschichtet weiss matt (RAL 9003) Höhe 10 mm Blister 2 Stück,"Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: pulverbeschichtet, weiss matt (RAL 9003), Höhe 10 mm. Verpackung: Blister 2 Stück.",Aussenecke pulverbeschichtet weiss matt (RAL 9003) Höhe 10 mm Blister 2 Stück | PROSEMA,Aussenecke für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Aussenecke, Fliesenprofil, Abschlussprofil, pulverbeschichtet, weiss matt (RAL 9003), Höhe 10 mm",PPDS 2.0 geprüft,"DSACM 1012-Y, 2",Profile,Abschlussprofile Winkel,DUROSOL,,[pulverbeschichtet],Weiss matt RAL  9003,,,10,Stk.,"0,01",Blister 2 Stück,4018448172582,76042990,,8.14,,,,"€, Stück",A,1,,,10000,
020.020.2500,,Dural GmbH,91280610,DSAE 60-G 250 CM ALU ELOXIERT GOLD,Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Länge 250 cm,"Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: Aluminium, eloxiert, gold, Länge 250 cm. Verpackung: passendes Zubehörteil.",Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Länge 250 cm | PROSEMA,Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Zubehör für Winkelabschlussprofil, Fliesenprofil, Abschlussprofil, Aluminium, eloxiert, gold, Länge 250 cm",PPDS 2.0 geprüft,"DSAE 60-G, 250",Profile,Abschlussprofile Winkel,DUROSOL,Aluminium,[eloxiert],Gold,,250,6,lfm,"0,082",,4018448009932,76042990,,8.02,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsae_gold.jpg"
020.020.2510,,Dural GmbH,91280810,DSAE 80-G 250 CM ALU ELOXIERT GOLD,"Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Höhe 8 mm, Länge 250 cm","Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: Aluminium, eloxiert, gold, Höhe 8 mm, Länge 250 cm. Verpackung: passendes Zubehörteil.","Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Höhe 8 mm, Länge 250 cm | PROSEMA",Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Zubehör für Winkelabschlussprofil, Fliesenprofil, Abschlussprofil, Aluminium, eloxiert, gold, Höhe 8 mm, Länge 250 cm",PPDS 2.0 geprüft,"DSAE 80-G, 250",Profile,Abschlussprofile Winkel,DUROSOL,Aluminium,[eloxiert],Gold,,250,8,lfm,"0,087",,4018448009949,76042990,,8.28,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsae_gold.jpg"
020.020.2520,,Dural GmbH,91281010,DSAE 100-G 250 CM ALU ELOXIERT GOLD,"Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Höhe 10 mm, Länge 250 cm","Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: Aluminium, eloxiert, gold, Höhe 10 mm, Länge 250 cm. Verpackung: passendes Zubehörteil.","Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Höhe 10 mm, Länge 250 cm | PROSEMA",Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Zubehör für Winkelabschlussprofil, Fliesenprofil, Abschlussprofil, Aluminium, eloxiert, gold, Höhe 10 mm, Länge 250 cm",PPDS 2.0 geprüft,"DSAE 100-G, 250",Profile,Abschlussprofile Winkel,DUROSOL,Aluminium,[eloxiert],Gold,,250,10,lfm,"0,097",,4018448009963,76042990,,8.74,,,,"€, lfm",A,10,40,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durosol_dsae_gold.jpg"
020.020.2530,,Dural GmbH,91281110,DSAE 110-G 250 CM ALU ELOXIERT GOLD,"Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Höhe 11 mm, Länge 250 cm","Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen. Das Formteil ermöglicht eine saubere Ausbildung von Profilenden, Innen- oder Aussenecken und ergänzt den linearen Kantenschutz technisch passend. Technische Ausführung: Aluminium, eloxiert, gold, Höhe 11 mm, Länge 250 cm. Verpackung: passendes Zubehörteil.","Zubehör für Winkelabschlussprofil Aluminium eloxiert gold Höhe 11 mm, Länge 250 cm | PROSEMA",Zubehör für Winkelabschlussprofil für Winkelabschlussprofile an keramischen Wand- und Bodenbelägen.,Winkelabschlussprofil Zubehör,"Zubehör für Winkelabschlussprofil, Fliesenprofil, Abschlussprofil, Aluminium, eloxiert, gold, Höhe 11 mm, Länge 250 cm",PPDS 2.0 geprüft,"DSAE 110-G, 250",Profile,Abschlussprofile Winkel,DUROSOL,Aluminium,[eloxiert],Gold,,250,11,lfm,"0,105",,4018448175200,76042990,,9.16,,,,"€, lfm",A,10,40,,10000,
050.010.0730,,Dural GmbH,915100201,BOAC 10015-XC ALU HELLELFENBEIN 1 ST,Aussenecke für Balkonabschlussprofil Aluminium pulverbeschichtet hellelfenbein (RAL 1015) Höhe 100 mm,"Aussenecke für Balkonabschlussprofil im Aussenbereich. Das Bauteil dient der sauberen Ausbildung von Kanten, Abschlüssen oder Anschlüssen an Balkon- und Terrassenbelägen. Technische Ausführung: Aluminium, pulverbeschichtet, hellelfenbein (RAL 1015), Höhe 100 mm. Die Ausführung wird passend zum zugehörigen Profil eingesetzt und unterstützt einen konstruktiv sauberen, witterungsbeständigen Belagsabschluss.",Aussenecke für Balkonabschlussprofil Aluminium pulverbeschichtet hellelfenbein (RAL 1015) Höhe 100 mm | PROSEMA,Aussenecke für Balkonabschlussprofil im Aussenbereich.,Balkonabschlussprofil Zubehör,"Aussenecke, Balkonabschlussprofil, Balkon, Terrasse, Aluminium, pulverbeschichtet, hellelfenbein (RAL 1015), Höhe 100 mm",PPDS 2.0 geprüft,BOAC 10015-XC,Balkon und Terrasse,Balkonwinkelprofile,DURABAL BO,Aluminium,[pulverbeschichtet],Hellelfenbein RAL  1015,,,100,Stk.,,"Beutel, 1 Stück",4018448177396,76042990,,27.5,,,,"€, Stück",A,10,50,,10000,"https:, images.onetimepim.com, acc-90, images, dural_durabal-bo_xc_light-ivory.jpg?v=2"
